Inter-edge Weight MLN,Measurement,0.1,0.2,0.3,0.4,0.5
1.3,sym_h_b_h2,0.269,0.2819,0.2856,0.2738,0.2631
1.3,sym_l_b_h2,0.3115,0.2929,0.2785,0.249,0.2459
1.5,dg,0.3475,0.3539,0.3606,0.3575,0.3592
1.5,gaccs,0.3464,0.3555,0.3593,0.3555,0.3569
1.5,pr,0.3504,0.3555,0.3608,0.359,0.362
1.5,pr_w,0.3663,0.3663,0.3663,0.3663,0.3663
1.5,sp,0.3481,0.3556,0.359,0.3589,0.3628
1.5,sp_w,0.345,0.345,0.345,0.345,0.345
1.5,stg,0.3662,0.3662,0.3662,0.3662,0.3662
1.5,accs_h2,0.2735,0.2908,0.3077,0.316,0.3227
1.5,sym_h_b_h2,0.2685,0.285,0.2797,0.2688,0.2581
1.5,sym_l_b_h2,0.3123,0.293,0.2824,0.2441,0.2446
1.7,dg,0.348,0.3558,0.3588,0.3557,0.3601
1.7,gaccs,0.3471,0.3563,0.3573,0.354,0.3564
1.7,pr,0.3496,0.3545,0.3596,0.3567,0.3609
1.7,pr_w,0.3653,0.3653,0.3653,0.3653,0.3653
1.7,sp,0.3486,0.3569,0.3577,0.3568,0.3601
1.7,sp_w,0.3462,0.3462,0.3462,0.3462,0.3462
1.7,stg,0.3666,0.3666,0.3666,0.3666,0.3666
1.7,accs_h2,0.2701,0.2873,0.3038,0.3198,0.323
1.7,sym_h_b_h2,0.272,0.2829,0.2784,0.2723,0.256
1.7,sym_l_b_h2,0.3132,0.2924,0.282,0.2497,0.243
1.9,dg,0.349,0.3559,0.3559,0.3553,0.3609
1.9,gaccs,0.3483,0.3558,0.3549,0.3525,0.3552
1.9,pr,0.3499,0.3563,0.3577,0.3579,0.3604
1.9,pr_w,0.3652,0.3652,0.3652,0.3652,0.3652
1.9,sp,0.3499,0.3562,0.3544,0.3546,0.3632
1.9,sp_w,0.346,0.346,0.346,0.346,0.346
1.9,stg,0.3668,0.3668,0.3668,0.3668,0.3668
1.9,accs_h2,0.2698,0.2859,0.2991,0.318,0.3293
1.9,sym_h_b_h2,0.2699,0.2863,0.2802,0.2715,0.2505
1.9,sym_l_b_h2,0.3151,0.2942,0.2837,0.2549,0.2426
