Inter-edge Weight MLN,Measurement,0.1,0.2,0.3,0.4,0.5
0.5,dg,0.3503,0.3611,0.36,0.362,0.3621
0.5,gaccs,0.3501,0.3607,0.3595,0.3621,0.3613
0.5,pr,0.3504,0.358,0.3626,0.3606,0.3604
0.5,pr_w,0.3688,0.3688,0.3688,0.3688,0.3688
0.5,sp,0.3515,0.3625,0.3598,0.3633,0.3645
0.5,sp_w,0.3452,0.3452,0.3452,0.3452,0.3452
0.5,stg,0.3675,0.3675,0.3675,0.3675,0.3675
0.5,accs_h2,0.2714,0.2932,0.3099,0.3138,0.3277
0.5,sym_h_b_h2,0.2681,0.2863,0.2873,0.2821,0.2779
0.5,sym_l_b_h2,0.3155,0.2893,0.2613,0.2493,0.2412
0.6,dg,0.3512,0.3585,0.3605,0.3637,0.362
0.6,gaccs,0.35,0.3591,0.3601,0.3619,0.361
0.6,pr,0.3512,0.3578,0.3608,0.3595,0.3623
0.6,pr_w,0.3703,0.3703,0.3703,0.3703,0.3703
0.6,sp,0.3522,0.3592,0.3618,0.3622,0.3657
0.6,sp_w,0.3437,0.3437,0.3437,0.3437,0.3437
0.6,stg,0.3674,0.3674,0.3674,0.3674,0.3674
0.6,accs_h2,0.2736,0.2934,0.3105,0.3123,0.3256
0.6,sym_h_b_h2,0.2682,0.2863,0.2843,0.2845,0.2739
0.6,sym_l_b_h2,0.315,0.2907,0.2653,0.2514,0.2348
0.7,dg,0.352,0.3575,0.3604,0.3632,0.3623
0.7,gaccs,0.35,0.358,0.36,0.3613,0.3595
0.7,pr,0.3509,0.3566,0.3631,0.361,0.361
0.7,pr_w,0.3681,0.3681,0.3681,0.3681,0.3681
0.7,sp,0.3526,0.3591,0.3607,0.3635,0.3639
0.7,sp_w,0.3438,0.3438,0.3438,0.3438,0.3438
0.7,stg,0.3696,0.3696,0.3696,0.3696,0.3696
0.7,accs_h2,0.2742,0.2928,0.3121,0.3137,0.3271
0.7,sym_h_b_h2,0.2663,0.2837,0.2903,0.2823,0.2748
0.7,sym_l_b_h2,0.3145,0.29,0.27,0.2466,0.2352
0.8,dg,0.3506,0.3576,0.359,0.3606,0.3614
0.8,gaccs,0.3497,0.3576,0.3584,0.3585,0.3599
0.8,pr,0.3506,0.3564,0.3602,0.3607,0.3593
0.8,pr_w,0.3664,0.3664,0.3664,0.3664,0.3664
0.8,sp,0.3506,0.3591,0.3599,0.361,0.3644
0.8,sp_w,0.3432,0.3432,0.3432,0.3432,0.3432
0.8,stg,0.3684,0.3684,0.3684,0.3684,0.3684
0.8,accs_h2,0.2754,0.2933,0.3084,0.319,0.3248
0.8,sym_h_b_h2,0.2665,0.286,0.2874,0.2811,0.2688
0.8,sym_l_b_h2,0.317,0.2921,0.2731,0.2483,0.2395
0.9,dg,0.3527,0.3594,0.3594,0.3598,0.3626
0.9,gaccs,0.3514,0.3591,0.3571,0.3573,0.3586
0.9,pr,0.3511,0.3585,0.3625,0.3573,0.3599
0.9,pr_w,0.3651,0.3651,0.3651,0.3651,0.3651
0.9,sp,0.353,0.3604,0.361,0.3598,0.3639
0.9,sp_w,0.343,0.343,0.343,0.343,0.343
0.9,stg,0.3695,0.3695,0.3695,0.3695,0.3695
0.9,accs_h2,0.2743,0.2927,0.3088,0.3181,0.3241
0.9,sym_h_b_h2,0.2629,0.2838,0.2856,0.2815,0.2624
0.9,sym_l_b_h2,0.315,0.2916,0.2768,0.2434,0.2452
1,dg,0.3382,0.3382,0.3382,0.3382,0.3382
1,gaccs,0.3394,0.3394,0.3394,0.3394,0.3394
1,pr,0.3412,0.3412,0.3412,0.3412,0.3412
1,pr_w,0.3637,0.3637,0.3637,0.3637,0.3637
1,sp,0.3382,0.3382,0.3382,0.3382,0.3382
1,sp_w,0.3458,0.3458,0.3458,0.3458,0.3458
1,stg,0.3652,0.3652,0.3652,0.3652,0.3652
1,accs_h2,0.2776,0.2776,0.2776,0.2776,0.2776
1,sym_h_b_h2,0.2675,0.2675,0.2675,0.2675,0.2675
1,sym_l_b_h2,0.3266,0.3266,0.3266,0.3266,0.3266
1.1,dg,0.3508,0.3578,0.3599,0.3594,0.3622
1.1,gaccs,0.3483,0.358,0.3577,0.3573,0.3566
1.1,pr,0.3513,0.3555,0.3603,0.3594,0.3582
1.1,pr_w,0.3672,0.3672,0.3672,0.3672,0.3672
1.1,sp,0.3512,0.3585,0.3605,0.3593,0.362
1.1,sp_w,0.343,0.343,0.343,0.343,0.343
1.1,stg,0.3673,0.3673,0.3673,0.3673,0.3673
1.1,accs_h2,0.277,0.2917,0.308,0.317,0.3233
1.1,sym_h_b_h2,0.2645,0.2806,0.2875,0.2785,0.2657
1.1,sym_l_b_h2,0.3132,0.2927,0.2749,0.2485,0.2477
1.3,dg,0.3494,0.3564,0.3574,0.3608,0.3599
1.3,gaccs,0.347,0.3571,0.3577,0.3573,0.3553
1.3,pr,0.3494,0.3568,0.3565,0.3595,0.36
1.3,pr_w,0.3673,0.3673,0.3673,0.3673,0.3673
1.3,sp,0.3504,0.3569,0.3591,0.3607,0.3615
1.3,sp_w,0.3433,0.3433,0.3433,0.3433,0.3433
1.3,stg,0.3678,0.3678,0.3678,0.3678,0.3678
1.3,accs_h2,0.2748,0.2922,0.3087,0.3148,0.3189
1.3,sym_h_b_h2,0.2693,0.2819,0.2848,0.2739,0.2631
1.3,sym_l_b_h2,0.3136,0.2929,0.2778,0.2477,0.2461
1.5,dg,0.3492,0.3552,0.3599,0.3585,0.3628
1.5,gaccs,0.3481,0.3567,0.3585,0.3553,0.3579
1.5,pr,0.3497,0.3572,0.3621,0.359,0.3638
1.5,pr_w,0.3671,0.3671,0.3671,0.3671,0.3671
1.5,sp,0.3498,0.3564,0.3592,0.3595,0.365
1.5,sp_w,0.347,0.347,0.347,0.347,0.347
1.5,stg,0.3676,0.3676,0.3676,0.3676,0.3676
1.5,accs_h2,0.273,0.291,0.3072,0.3148,0.3223
1.5,sym_h_b_h2,0.2688,0.285,0.2793,0.2692,0.2581
1.5,sym_l_b_h2,0.315,0.2936,0.2813,0.2441,0.2435
1.7,dg,0.3496,0.3573,0.3602,0.3569,0.3607
1.7,gaccs,0.3487,0.3578,0.3583,0.3551,0.3563
1.7,pr,0.3489,0.3558,0.3609,0.3573,0.3612
1.7,pr_w,0.3667,0.3667,0.3667,0.3667,0.3667
1.7,sp,0.3502,0.3579,0.3581,0.3575,0.3621
1.7,sp_w,0.3483,0.3483,0.3483,0.3483,0.3483
1.7,stg,0.3689,0.3689,0.3689,0.3689,0.3689
1.7,accs_h2,0.2696,0.2871,0.3038,0.3185,0.3227
1.7,sym_h_b_h2,0.2723,0.2831,0.2785,0.2743,0.2564
1.7,sym_l_b_h2,0.3162,0.293,0.2822,0.2506,0.2427
1.9,dg,0.3502,0.3579,0.3562,0.3562,0.3605
1.9,gaccs,0.3495,0.3578,0.3546,0.3525,0.355
1.9,pr,0.3512,0.3591,0.3574,0.3594,0.3605
1.9,pr_w,0.3668,0.3668,0.3668,0.3668,0.3668
1.9,sp,0.351,0.3577,0.3545,0.356,0.3632
1.9,sp_w,0.3479,0.3479,0.3479,0.3479,0.3479
1.9,stg,0.3694,0.3694,0.3694,0.3694,0.3694
1.9,accs_h2,0.2698,0.2856,0.2991,0.3162,0.3295
1.9,sym_h_b_h2,0.2702,0.2858,0.2804,0.2734,0.251
1.9,sym_l_b_h2,0.3167,0.296,0.2826,0.2566,0.244
