1.5555555555555556 3.111111111111111 0.0 
1.8333333333333333 2.65 8.0 0.0 
1.5 2.8823529411764706 7.0 0.0 
1.6 2.588235294117647 7.8 0.0 
1.8333333333333333 2.1578947368421053 7.5 0.0 
1.8 2.466666666666667 5.428571428571429 0.0 
1.4 2.2777777777777777 10.5 0.0 
1.8333333333333333 2.5625 5.8 0.0 
1.4 2.411764705882353 8.2 0.0 
1.5 2.6315789473684212 7.5 0.0 
1.6666666666666667 2.6470588235294117 6.5 0.0 
1.625 3.1176470588235294 10.5 0.0 
1.2 2.642857142857143 7.0 0.0 
1.8333333333333333 2.2777777777777777 8.333333333333334 0.0 
1.625 3.176470588235294 6.5 0.0 
1.7142857142857142 2.625 7.0 0.0 
1.6 2.5555555555555554 5.75 0.0 
1.8333333333333333 2.473684210526316 8.0 0.0 
1.0 2.875 6.666666666666667 0.0 
1.3333333333333333 3.111111111111111 0.0 
1.5 2.625 7.666666666666667 0.0 
1.5555555555555556 3.6 8.0 0.0 
1.5 2.125 7.4 0.0 
1.6 2.7142857142857144 6.0 0.0 
1.8 2.3684210526315788 6.666666666666667 0.0 
2.0 2.4285714285714284 5.25 0.0 
1.8 1.9473684210526316 10.333333333333334 0.0 
1.8 2.3333333333333335 5.571428571428571 0.0 
