19.0 22.15789473684211 22.0 
24.0 22.75 2.0 
0.0 
24.0 22.75 2.0 
23.0 22.956521739130434 10.5 
24.0 22.75 2.0 
22.0 23.27272727272727 12.666666666666666 
24.0 22.75 2.0 
23.0 22.956521739130434 10.5 
24.0 22.75 2.0 
22.0 23.27272727272727 12.666666666666666 
24.0 22.75 2.0 
21.0 23.380952380952376 19.333333333333332 2.0 
24.0 22.75 2.0 
17.0 23.411764705882348 19.625 
24.0 22.75 2.0 
24.0 22.75 2.0 
23.0 22.826086956521742 12.0 
0.0 
23.0 23.043478260869566 9.5 
24.0 22.749999999999996 2.0 
2.0 20.5 23.190476190476186 21.0 
23.0 23.043478260869566 9.5 
21.0 23.380952380952376 19.333333333333332 2.0 
23.0 23.043478260869566 9.5 
24.0 22.749999999999996 2.0 
24.0 22.749999999999996 2.0 
22.0 22.045454545454543 21.666666666666668 
