14.0 6.222222222222222 0.0 
11.0 8.833333333333334 0.4 0.0 
12.0 6.125 0.8235294117647058 0.0 
8.0 8.8 2.2941176470588234 0.0 
11.0 6.833333333333333 0.7894736842105263 0.0 
9.0 7.4 2.533333333333333 0.0 
7.0 8.2 2.3333333333333335 0.0 
11.0 6.833333333333333 1.8125 0.0 
7.0 8.2 2.411764705882353 0.0 
9.0 8.333333333333334 0.7894736842105263 0.0 
10.0 7.5 1.5294117647058822 0.0 
13.0 6.625 1.2352941176470589 0.0 
6.0 7.4 4.0 0.0 
11.0 6.833333333333333 1.3888888888888888 0.0 
13.0 6.75 0.7647058823529411 0.0 
12.0 6.0 1.75 0.0 
8.0 9.2 1.2777777777777777 0.0 
11.0 7.833333333333333 0.8421052631578947 0.0 
5.0 9.2 2.5 0.0 
12.0 6.222222222222222 0.0 
12.0 5.25 1.4375 0.0 
14.0 6.0 1.6 0.0 
9.0 5.666666666666667 2.3125 0.0 
8.0 7.6 3.4285714285714284 0.0 
9.0 9.0 1.0526315789473684 0.0 
10.0 6.8 3.0 0.0 
9.0 7.4 1.631578947368421 0.0 
9.0 7.0 2.6 0.0 
