1.0 9.0 18.0 
1.0 6.0 20.0 1.0 
1.0 8.0 17.0 2.0 
1.0 5.0 17.0 5.0 
1.0 6.0 19.0 2.0 
1.0 5.0 15.0 7.0 
1.0 5.0 18.0 4.0 
1.0 6.0 16.0 5.0 
1.0 5.0 17.0 5.0 
1.0 6.0 19.0 2.0 
1.0 6.0 17.0 4.0 
1.0 8.0 17.0 2.0 
1.0 5.0 14.0 8.0 
1.0 6.0 18.0 3.0 
1.0 8.0 17.0 2.0 
1.0 7.0 16.0 4.0 
1.0 5.0 18.0 4.0 
1.0 6.0 19.0 2.0 
1.0 5.0 16.0 6.0 
1.0 9.0 18.0 
1.0 8.0 16.0 3.0 
1.0 9.0 15.0 3.0 
1.0 6.0 16.0 5.0 
1.0 5.0 14.0 8.0 
1.0 5.0 19.0 3.0 
1.0 5.0 14.0 8.0 
1.0 5.0 19.0 3.0 
1.0 5.0 15.0 7.0 
