Inter-edge Weight MLN,Measurement,0.1,0.2,0.3,0.4,0.5
1.7,at,0.5565,0.5575,0.5535,0.5565,0.5499
1.7,dg,0.555,0.5564,0.5695,0.5601,0.547
1.7,gaccs,0.556,0.5597,0.5683,0.5481,0.5443
1.7,pr,0.5534,0.557,0.5609,0.5599,0.554
1.7,pr_w,0.5597,0.5597,0.5597,0.5597,0.5597
1.7,sp,0.5559,0.5594,0.5669,0.5591,0.5519
1.7,sp_w,0.5656,0.5656,0.5656,0.5656,0.5656
1.7,stg,0.5622,0.5622,0.5622,0.5622,0.5622
1.9,at,0.5561,0.5638,0.5581,0.5562,0.5536
1.9,dg,0.5634,0.5572,0.5625,0.5558,0.5545
1.9,gaccs,0.5603,0.5591,0.5661,0.5467,0.5531
1.9,pr,0.563,0.5531,0.5654,0.5426,0.5618
1.9,pr_w,0.5622,0.5622,0.5622,0.5622,0.5622
1.9,sp,0.5631,0.557,0.5659,0.5608,0.5592
1.9,sp_w,0.5651,0.5651,0.5651,0.5651,0.5651
1.9,stg,0.5648,0.5648,0.5648,0.5648,0.5648
