Inter-edge Weight MLN,Measurement,0.1,0.2,0.3,0.4,0.5
1.1,pr_w,0.5558,0.5558,0.5558,0.5558,0.5558
1.1,sp,0.5577,0.5629,0.5645,0.5591,0.5358
1.1,sp_w,0.5622,0.5622,0.5622,0.5622,0.5622
1.1,stg,0.5587,0.5587,0.5587,0.5587,0.5587
1.1,sym_l_b_h2,0.5303,0.5288,0.5047,0.5059,0.5027
1.1,sym_h_b_h2,0.448,0.4503,0.4333,0.4495,0.4463
1.1,accs_h2,0.5092,0.5113,0.5201,0.5272,0.541
1.3,at,0.5581,0.5573,0.5561,0.5585,0.5492
1.3,dg,0.5544,0.5621,0.5623,0.5632,0.5453
1.3,gaccs,0.5529,0.5678,0.5621,0.5527,0.542
1.3,pr,0.5531,0.5536,0.5625,0.5635,0.5505
1.3,pr_w,0.5546,0.5546,0.5546,0.5546,0.5546
1.3,sp,0.553,0.5623,0.5569,0.5639,0.5447
1.3,sp_w,0.5687,0.5687,0.5687,0.5687,0.5687
1.3,stg,0.5611,0.5611,0.5611,0.5611,0.5611
1.3,sym_l_b_h2,0.5342,0.52,0.5081,0.4967,0.5086
1.3,sym_h_b_h2,0.4382,0.4641,0.4277,0.4513,0.4389
1.3,accs_h2,0.5123,0.5226,0.513,0.532,0.5241
1.5,at,0.5581,0.5566,0.5569,0.553,0.5476
1.5,dg,0.5556,0.5619,0.5734,0.5543,0.5427
1.5,gaccs,0.5539,0.5655,0.5726,0.5527,0.5368
1.5,pr,0.5632,0.5539,0.5656,0.5637,0.55
1.5,pr_w,0.5572,0.5572,0.5572,0.5572,0.5572
1.5,sp,0.5555,0.5615,0.5644,0.5652,0.5571
1.5,sp_w,0.5675,0.5675,0.5675,0.5675,0.5675
1.5,stg,0.5616,0.5616,0.5616,0.5616,0.5616
1.5,sym_l_b_h2,0.5296,0.5161,0.5239,0.5019,0.5206
1.5,sym_h_b_h2,0.4398,0.4547,0.4375,0.4524,0.4347
1.5,accs_h2,0.5041,0.5147,0.5255,0.5223,0.5214
1.7,at,0.5565,0.5575,0.5535,0.5565,0.5499
1.7,dg,0.555,0.5564,0.5695,0.5601,0.547
1.7,gaccs,0.556,0.5597,0.5683,0.5481,0.5443
1.7,pr,0.5534,0.557,0.5609,0.5599,0.554
1.7,pr_w,0.5597,0.5597,0.5597,0.5597,0.5597
1.7,sp,0.5559,0.5594,0.5669,0.5591,0.5519
1.7,sp_w,0.5656,0.5656,0.5656,0.5656,0.5656
1.7,stg,0.5622,0.5622,0.5622,0.5622,0.5622
1.7,sym_l_b_h2,0.5171,0.5302,0.5269,0.5099,0.5097
1.7,sym_h_b_h2,0.4349,0.4466,0.4414,0.4499,0.4333
1.7,accs_h2,0.4956,0.5245,0.5237,0.5036,0.5318
1.9,at,0.5561,0.5638,0.5581,0.5562,0.5536
1.9,dg,0.5634,0.5572,0.5625,0.5558,0.5545
1.9,gaccs,0.5603,0.5591,0.5661,0.5467,0.5531
1.9,pr,0.563,0.5531,0.5654,0.5426,0.5618
1.9,pr_w,0.5622,0.5622,0.5622,0.5622,0.5622
1.9,sp,0.5631,0.557,0.5659,0.5608,0.5592
1.9,sp_w,0.5651,0.5651,0.5651,0.5651,0.5651
1.9,stg,0.5648,0.5648,0.5648,0.5648,0.5648
1.9,sym_l_b_h2,0.5143,0.528,0.5234,0.514,0.5093
1.9,sym_h_b_h2,0.4469,0.4608,0.4398,0.4525,0.4348
1.9,accs_h2,0.4998,0.5099,0.5028,0.5049,0.5218
